tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
10530,DPW Maintained,Lophostemon confertus :: Brisbane Box,101 Harbor Rd,11,Sidewalk: Curb side : Cutout,DPW,3/22/2004,3,3X4,37.73190736,-122.3780363
87391,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,3322 Fillmore St,1,Sidewalk: Curb side : Cutout,Private,1/24/2015,3,3x3,37.80024767,-122.4360533
30508,Permitted Site,Laurus nobilis :: Sweet Bay: Grecian Laurel,363 Holyoke St,1,Sidewalk: Curb side : Cutout,Private,7/6/1998,,,37.72681425,-122.4086422
88114,DPW Maintained,Cordyline australis :: Dracena Palm,3345 Kirkham St,2,Sidewalk: Curb side : Cutout,Private,7/1/2008,2,3x3,37.75887047,-122.4970107
42726,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,7,Sidewalk: Curb side : Cutout,Private,6/26/2000,7,,37.72888252,-122.3950632
46095,Permitted Site,Crataegus phaenopyrum :: Washington Hawthorn,647 Los Palmos Dr,2,Sidewalk: Curb side : Cutout,Private,12/18/2001,,,37.73498132,-122.4564279
203946,DPW Maintained,Agonis flexuosa :: Peppermint Willow,2467 16th Ave,1,Sidewalk: Curb side : Cutout,Private,1/8/2020,3,Width 3ft,37.74194807,-122.4724787
30846,Permitted Site,Maytenus boaria :: Mayten,126 Corbett Ave,1,Sidewalk: Curb side : Cutout,Private,2/16/1995,,,37.76170233,-122.4411721
200925,DPW Maintained,Tristania conferta ::,4100 03rd St,3,Sidewalk: Curb side : Cutout,Private,4/26/2017,3,Width 0ft,37.74003262,-122.3890239
96070,Permitted Site,Magnolia grandiflora 'Russet' :: Russet Magnolia,757 Treat Ave,2,Sidewalk: Curb side : Cutout,Private,8/3/2011,,3x3,37.75801393,-122.413367
50308,Permitted Site,Prunus spp :: Cherry,701 (REVISED) Grafton Ave,1,Sidewalk: Curb side : Cutout,Private,12/30/2003,,,37.71994955,-122.4602483
70592,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,312 Athens St,1,Sidewalk: Curb side : Cutout,Private,8/6/1994,4,,37.72302539,-122.4274771
68303,DPW Maintained,Cordyline australis :: Dracena Palm,2110 48th Ave,1,Sidewalk: Curb side : Cutout,Private,3/17/2012,1,,37.74698617,-122.5070608
89009,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,800 Chestnut St,,Sidewalk: Curb side : Cutout,Private,9/29/2008,,,37.80339848,-122.4165401
24440,DPW Maintained,Melaleuca quinquenervia :: Cajeput,99X Peter Yorke Way,8,Sidewalk: Curb side : Cutout,DPW,5/20/1995,6,3X3,37.78645014,-122.4233015
256105,Planning Code 138.1 required,Tristaniopsis laurina :: Swamp Myrtle,1935 34th Ave,1,Sidewalk: Property side : Cutout,Private,9/6/2018,3,3x3,37.75099598,-122.4924393
92618,Permitted Site,Lophostemon confertus :: Brisbane Box,2X Hickory St,2,Sidewalk: Curb side : Cutout,Private,8/31/2009,3,3x3,37.77594253,-122.4195494
84160,Permitted Site,Ulmus carpinifolia 'Frontier' :: Frontier Elm 'Frontier',2747 19th St,5,Sidewalk: Curb side : Cutout,Private,7/21/2009,5,3x3,37.76044425,-122.4094807
40425,Permitted Site,Prunus serrulata :: Ornamental Cherry,175 Valdez Ave,2,Sidewalk: Curb side : Cutout,Private,6/3/1999,,,37.73100427,-122.4555897
42308,Permitted Site,Trachycarpus fortunei :: Windmill Palm,249 Edna St,1,Sidewalk: Curb side : Cutout,Private,6/23/2000,,,37.72867096,-122.4466516
105470,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,833 Jamestown Ave,5,Sidewalk: Curb side : Cutout,Private,1/30/2014,,3x3,37.71663422,-122.3905168
64748,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,131 03rd Ave,1,Sidewalk: Curb side : Cutout,Private,11/15/1988,13,,37.78621383,-122.4615167
33183,Permitted Site,Magnolia grandiflora :: Southern Magnolia,535 Dewey Blvd,2,Sidewalk: Curb side : Cutout,Private,11/6/1996,,,37.74487068,-122.4621385
259337,DPW Maintained,Laurus x 'Saratoga' :: Hybrid Laurel,2x Silliman St,1,Sidewalk: Curb side : Cutout,DPW,4/27/2019,3,,,
15799,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,4950 Mission St,5,Sidewalk: Curb side : Cutout,DPW,8/8/2003,12,3X3,37.71958771,-122.4388399
85930,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1696 26th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/18/2006,3,3x3,37.75595133,-122.484034
68999,DPW Maintained,Olea europaea :: Olive Tree,1937 48th Ave,1,Sidewalk: Curb side : Cutout,Private,1/4/1994,3,,37.75029243,-122.5074429
49592,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2333  REVISED Buchanan St,6,Sidewalk: Curb side : Cutout,Private,5/16/2003,4,,37.7906194,-122.4308987
259101,DPW Maintained,Lophostemon confertus :: Brisbane Box,600 Visitacion Ave,3,Sidewalk: Curb side : Cutout,DPW,3/30/2019,3,,,
254740,Planning Code 138.1 required,Metrosideros excelsa :: New Zealand Xmas Tree,1814 42nd Ave,1,Sidewalk: Property side : Cutout,Private,3/27/2018,3,3x3,37.75279861,-122.5009344
66274,DPW Maintained,Pittosporum undulatum :: Victorian Box,900 Hyde St,1,Sidewalk: Curb side : Cutout,Private,11/1/2013,2,4x4,37.78927525,-122.416961
50181,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,1223 Shrader St,1,Sidewalk: Curb side : Cutout,Private,8/18/2003,,,37.76363199,-122.4510906
34497,Permitted Site,Prunus cerasifera :: Cherry Plum,260 Banks St,2,Sidewalk: Curb side : Cutout,Private,7/15/1997,,,37.73966329,-122.4128183
97762,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,122 08th Ave,1,Sidewalk: Curb side : Cutout,Private,12/1/2015,3,3x3,37.78608497,-122.4667101
63908,DPW Maintained,Ficus retusa nitida :: Banyan Fig,2125 Powell St,1,Sidewalk: Curb side : Cutout,Private,8/3/1987,14,,37.80440194,-122.41174
48574,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1649 15th St,1,Sidewalk: Curb side : Cutout,Private,8/28/2002,,,37.76653768,-122.4208896
5147,DPW Maintained,Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,228 Divisadero St,1,Sidewalk: Curb side : Cutout,DPW,4/21/2016,3,3x3,37.77089734,-122.4368521
30636,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1690 Folsom St,1,Sidewalk: Curb side : Cutout,Private,6/23/2004,3,3x3,37.7704133,-122.4154029
60076,Permitted Site,Maytenus boaria :: Mayten,1245 23rd Ave,1,Sidewalk: Curb side : Cutout,Private,3/16/1982,,,37.76440283,-122.4815711
48973,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1409 11th Ave,1,Sidewalk: Curb side : Cutout,Private,12/5/2002,10,3x3,37.76187825,-122.4683969
27797,Permitted Site,Corymbia ficifolia :: Red Flowering Gum,899X Junipero Serra Blvd,3,Sidewalk: Curb side : Cutout,PUC,3/17/2001,3,3,37.72165289,-122.4722096
5156,DPW Maintained,Pyrus calleryana :: Ornamental Pear,270 Divisadero St,1,Sidewalk: Curb side : Cutout,DPW,3/22/1990,2,,37.77170896,-122.4370107
